algo,taille,test,temps
brute,10000,1.51994459629E+AC0-07,15.1994459629
brute,10000,1.49704768658E+AC0-07,14.9704768658
brute,10000,1.55280070305E+AC0-07,15.5280070305
brute,10000,1.55013508797E+AC0-07,15.5013508797
brute,10000,1.61841599941E+AC0-07,16.1841599941
brute,10000,1.59256608486E+AC0-07,15.9256608486
brute,10000,1.59705131054E+AC0-07,15.9705131054
brute,10000,1.61520831585E+AC0-07,16.1520831585
brute,10000,1.59632160664E+AC0-07,15.9632160664
brute,10000,1.6375674963E+AC0-07,16.375674963
brute,1000,1.51523828506E+AC0-07,0.151523828506
brute,1000,1.57064914703E+AC0-07,0.157064914703
brute,1000,1.57841920853E+AC0-07,0.157841920853
brute,1000,1.54881954193E+AC0-07,0.154881954193
brute,1000,1.54067993164E+AC0-07,0.154067993164
brute,1000,1.54737949371E+AC0-07,0.154737949371
brute,1000,1.53527021408E+AC0-07,0.153527021408
brute,1000,1.58243179321E+AC0-07,0.158243179321
brute,1000,1.53628826141E+AC0-07,0.153628826141
brute,1000,1.54263019562E+AC0-07,0.154263019562
brute,25000,1.633296657568E+AC0-07,102.081041098
brute,25000,1.687288047792E+AC0-07,105.455502987
brute,25000,1.664964786528E+AC0-07,104.060299158
brute,25000,1.640069538112E+AC0-07,102.504346132
brute,25000,1.644949821472E+AC0-07,102.809363842
brute,25000,1.669693214416E+AC0-07,104.355825901
brute,25000,1.621622447968E+AC0-07,101.351402998
brute,25000,1.6398859024E+AC0-07,102.4928689
brute,25000,1.667288894656E+AC0-07,104.205555916
brute,25000,1.667142894752E+AC0-07,104.196430922
brute,5000,1.559318733216E+AC0-07,3.89829683304
brute,5000,1.578674793244E+AC0-07,3.94668698311
brute,5000,1.5992231369E+AC0-07,3.99805784225
brute,5000,1.577813625336E+AC0-07,3.94453406334
brute,5000,1.564987564088E+AC0-07,3.91246891022
brute,5000,1.569416332244E+AC0-07,3.92354083061
brute,5000,1.564017963408E+AC0-07,3.91004490852
brute,5000,1.598856735228E+AC0-07,3.99714183807
brute,5000,1.60549955368E+AC0-07,4.0137488842
brute,5000,1.581532859804E+AC0-07,3.95383214951
brute,500,1.54580116272E+AC0-07,
brute,500,1.513118743896E+AC0-07,
brute,500,1.495800018312E+AC0-07,
brute,500,1.527519226076E+AC0-07,
